SQL> select * from GHGEmission;

GHGYEA,UNIT
------,--------------------------------------------------
2015Q1,Million metric tons of CO2 equivalent
2022Q2,Million metric tons of CO2 equivalent
2023Q2,Million metric tons of CO2 equivalent
2010Q1,Million metric tons of CO2 equivalent
2015Q4,Million metric tons of CO2 equivalent
2014Q1,Million metric tons of CO2 equivalent
2010Q2,Million metric tons of CO2 equivalent
2017Q3,Million metric tons of CO2 equivalent
2020Q1,Million metric tons of CO2 equivalent
2014Q2,Million metric tons of CO2 equivalent
2012Q3,Million metric tons of CO2 equivalent
2010Q4,Million metric tons of CO2 equivalent
2016Q2,Million metric tons of CO2 equivalent
2017Q2,Million metric tons of CO2 equivalent
2016Q4,Million metric tons of CO2 equivalent
2014Q3,Million metric tons of CO2 equivalent
2020Q3,Million metric tons of CO2 equivalent
2021Q4,Million metric tons of CO2 equivalent
2020Q2,Million metric tons of CO2 equivalent
2011Q2,Million metric tons of CO2 equivalent
2016Q3,Million metric tons of CO2 equivalent
2018Q1,Million metric tons of CO2 equivalent
2019Q1,Million metric tons of CO2 equivalent
2018Q2,Million metric tons of CO2 equivalent
2012Q2,Million metric tons of CO2 equivalent
2014Q4,Million metric tons of CO2 equivalent
2011Q3,Million metric tons of CO2 equivalent
2018Q3,Million metric tons of CO2 equivalent
2017Q1,Million metric tons of CO2 equivalent
2013Q3,Million metric tons of CO2 equivalent
2013Q1,Million metric tons of CO2 equivalent
2021Q1,Million metric tons of CO2 equivalent
2023Q1,Million metric tons of CO2 equivalent
2011Q1,Million metric tons of CO2 equivalent
2022Q4,Million metric tons of CO2 equivalent
2015Q3,Million metric tons of CO2 equivalent
2018Q4,Million metric tons of CO2 equivalent
2020Q4,Million metric tons of CO2 equivalent
2016Q1,Million metric tons of CO2 equivalent
2022Q1,Million metric tons of CO2 equivalent
2022Q3,Million metric tons of CO2 equivalent
2013Q2,Million metric tons of CO2 equivalent
2010Q3,Million metric tons of CO2 equivalent
2012Q1,Million metric tons of CO2 equivalent
2021Q3,Million metric tons of CO2 equivalent
2015Q2,Million metric tons of CO2 equivalent
2021Q2,Million metric tons of CO2 equivalent
2013Q4,Million metric tons of CO2 equivalent
2019Q2,Million metric tons of CO2 equivalent
2017Q4,Million metric tons of CO2 equivalent
2012Q4,Million metric tons of CO2 equivalent
2019Q3,Million metric tons of CO2 equivalent
2019Q4,Million metric tons of CO2 equivalent
2011Q4,Million metric tons of CO2 equivalent

54 rows selected.

SQL> spool off
