SQL> select * from Temperature;

      YEAR,GHGYEA,UNIT
----------,------,--------------------------------------------------
      2015,2015Q2,Degree Celsius
      2016,2016Q2,Degree Celsius
      2019,2019Q2,Degree Celsius
      2021,2021Q3,Degree Celsius
      2010,2010Q3,Degree Celsius
      2011,2011Q1,Degree Celsius
      2019,2019Q3,Degree Celsius
      2020,2020Q3,Degree Celsius
      2016,2016Q3,Degree Celsius
      2022,2022Q4,Degree Celsius
      2012,2012Q2,Degree Celsius
      2015,2015Q3,Degree Celsius
      2011,2011Q4,Degree Celsius
      2012,2012Q1,Degree Celsius
      2016,2016Q1,Degree Celsius
      2020,2020Q4,Degree Celsius
      2014,2014Q1,Degree Celsius
      2022,2022Q1,Degree Celsius
      2014,2014Q2,Degree Celsius
      2019,2019Q4,Degree Celsius
      2022,2022Q3,Degree Celsius
      2014,2014Q3,Degree Celsius
      2015,2015Q1,Degree Celsius
      2017,2017Q3,Degree Celsius
      2017,2017Q4,Degree Celsius
      2018,2018Q1,Degree Celsius
      2015,2015Q4,Degree Celsius
      2013,2013Q3,Degree Celsius
      2013,2013Q1,Degree Celsius
      2022,2022Q2,Degree Celsius
      2021,2021Q4,Degree Celsius
      2017,2017Q2,Degree Celsius
      2014,2014Q4,Degree Celsius
      2018,2018Q2,Degree Celsius
      2010,2010Q4,Degree Celsius
      2020,2020Q1,Degree Celsius
      2010,2010Q1,Degree Celsius
      2013,2013Q2,Degree Celsius
      2018,2018Q3,Degree Celsius
      2011,2011Q2,Degree Celsius
      2010,2010Q2,Degree Celsius
      2019,2019Q1,Degree Celsius
      2021,2021Q1,Degree Celsius
      2012,2012Q4,Degree Celsius
      2013,2013Q4,Degree Celsius
      2018,2018Q4,Degree Celsius
      2011,2011Q3,Degree Celsius
      2012,2012Q3,Degree Celsius
      2016,2016Q4,Degree Celsius
      2017,2017Q1,Degree Celsius
      2021,2021Q2,Degree Celsius
      2020,2020Q2,Degree Celsius

52 rows selected.

SQL> spool off
